feature,importance
boxoffice_week_1,0.7847635153642001
audience_week_1,0.2151938805055576
screens_week_1,1.362849470178455e-05
screens_week_2,1.2952421298546104e-05
audience_week_2,6.791519080973657e-06
open_week1_days,3.3334416051869717e-06
open_week2_boxoffice,3.1364399449043095e-06
current_week_active_idx,2.470593009490836e-06
boxoffice_week_2,2.9122060149021756e-07
gap_real_week_2to1,0.0
round_idx,0.0
gap_real_week_1tocurrent,0.0
open_week1_boxoffice,0.0
open_week1_boxoffice_daily_avg,0.0
release_year,0.0
film_length,0.0
is_restricted,0.0
release_month_sin,0.0
release_month_cos,0.0
