gov_id,week_label,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31190,2025W43,2025-07-14~2025-07-20,12859821.0,49764,12859821.0,49764,0.0,86,2025-10-28
31190,2025W43,2025-07-21~2025-07-27,13994814.0,54249,26854635.0,104013,0.08825884901508349,86,2025-10-28
31190,2025W43,2025-07-28~2025-08-03,11099912.0,42722,37954547.0,146735,-0.20685533941358564,86,2025-10-28
31190,2025W43,2025-08-04~2025-08-10,6558904.0,25273,44513451.0,172008,-0.40910306315941963,85,2025-10-28
31190,2025W43,2025-08-11~2025-08-17,5607291.0,22137,50120742.0,194145,-0.14508719749519128,84,2025-10-28
31190,2025W43,2025-08-18~2025-08-24,3775884.0,14994,53896626.0,209139,-0.3266117274812383,79,2025-10-28
31190,2025W43,2025-08-25~2025-08-31,2359863.0,9319,56256489.0,218458,-0.3750170820925643,58,2025-10-28
31190,2025W43,2025-09-01~2025-09-07,551981.0,1927,56808470.0,220385,-0.7660961674470086,32,2025-10-28
31190,2025W43,2025-09-08~2025-09-14,524995.0,2085,57333465.0,222470,-0.04888936394549812,24,2025-10-28
31190,2025W43,2025-09-15~2025-09-21,334898.0,1337,57668363.0,223807,-0.36209297231402204,23,2025-10-28
31190,2025W43,2025-09-22~2025-09-28,180298.0,672,57848661.0,224479,-0.46163309425556437,15,2025-10-28
31190,2025W43,2025-09-29~2025-10-05,179511.0,683,58028172.0,225162,-0.004364995729292616,10,2025-10-28
31190,2025W43,2025-10-06~2025-10-12,108805.0,418,58136977.0,225580,-0.3938811549152977,7,2025-10-28
31190,2025W43,2025-10-13~2025-10-19,26745.0,103,58163722.0,225683,-0.7541932815587519,4,2025-10-28
