gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31507,2025-08-15,2025-08-11~2025-08-17,718276.0,2856.0,718276.0,2856,0.0,24,2025-11-06
31507,2025-08-15,2025-08-18~2025-08-24,541411.0,2124.0,1259687.0,4980,-0.24623543039166004,24,2025-11-06
31507,2025-08-15,2025-08-25~2025-08-31,237617.0,925.0,1497304.0,5905,-0.5611153079638205,22,2025-11-06
31507,2025-08-15,2025-09-01~2025-09-07,33944.0,136.0,1531248.0,6041,-0.8571482680111272,8,2025-11-06
31507,2025-08-15,2025-09-08~2025-09-14,26540.0,110.0,1557788.0,6151,-0.21812396888993638,5,2025-11-06
31507,2025-08-15,2025-09-15~2025-09-21,9870.0,40.0,1567658.0,6191,-0.6281085154483798,4,2025-11-06
31507,2025-08-15,2025-09-22~2025-09-28,1660.0,7.0,1569318.0,6198,-0.8318135764944276,1,2025-11-06
31507,2025-08-15,2025-09-29~2025-10-05,1570.0,5.0,1570888.0,6203,-0.05421686746987952,1,2025-11-06
31507,2025-08-15,2025-10-06~2025-10-12,,,1570888.0,6203,-1.0,0,2025-11-06
31507,2025-08-15,2025-10-13~2025-10-19,6600.0,30.0,1577488.0,6233,0.0,1,2025-11-06
31507,2025-08-15,2025-10-20~2025-10-26,12560.0,50.0,1590048.0,6283,0.9030303030303031,2,2025-11-06
