title_zh,atmovies_id,release_date,screen_count,source_url
一一,fyen00244316,2017-07-28,10,https://www.atmovies.com.tw/movie/fyen00244316/
仲夏魘,fmen38772262,2019-07-12,1,https://www.atmovies.com.tw/movie/fmen38772262/
樂來越愛你,flus43783958,2020-04-10,2,https://www.atmovies.com.tw/movie/flus43783958/
FISHMANS,ffjp14141970,2023-04-21,3,https://www.atmovies.com.tw/movie/ffjp14141970/
異教詭屋,fhen28015403,2024-11-29,1,https://www.atmovies.com.tw/movie/fhen28015403/
復仇芭蕾,fben87181546,2025-06-06,1,https://www.atmovies.com.tw/movie/fben87181546/
造山者－世紀的賭注,facn99839420,2025-06-13,2,https://www.atmovies.com.tw/movie/facn99839420/
看不見的國家,ficn28853268,2025-06-13,1,https://www.atmovies.com.tw/movie/ficn28853268/
阿基拉,faone0411161,2025-06-24,1,https://www.atmovies.com.tw/movie/faone0411161/
名偵探柯南：獨眼的殘像,fdjp35891502,2025-06-25,3,https://www.atmovies.com.tw/movie/fdjp35891502/
F1電影,ffen16311594,2025-06-25,18,https://www.atmovies.com.tw/movie/ffen16311594/
大雄的繪畫世界物語,fdjp33512868,2025-07-18,1,https://www.atmovies.com.tw/movie/fdjp33512868/
長椅小情歌,fajp33477504,2025-07-18,1,https://www.atmovies.com.tw/movie/fajp33477504/
劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX,fmjp35652414,2025-08-08,3,https://www.atmovies.com.tw/movie/fmjp35652414/
「鬼滅之刃」 猗窩座再襲,fdjp32820897,2025-08-08,86,https://www.atmovies.com.tw/movie/fdjp32820897/
凶器,fwen26581740,2025-08-14,1,https://www.atmovies.com.tw/movie/fwen26581740/
角頭-鬥陣欸,fgcn53656183,2025-08-21,12,https://www.atmovies.com.tw/movie/fgcn53656183/
電影蠟筆小新：超華麗,fcjp35009463,2025-08-22,14,https://www.atmovies.com.tw/movie/fcjp35009463/
我在荒野做了一場夢,fscn98058855,2025-08-22,2,https://www.atmovies.com.tw/movie/fscn98058855/
進行曲,fmcn37093338,2025-08-29,1,https://www.atmovies.com.tw/movie/fmcn37093338/
天作之合,fmen30253473,2025-08-29,2,https://www.atmovies.com.tw/movie/fmen30253473/
厲陰宅：最終聖事,fcen22898462,2025-09-04,29,https://www.atmovies.com.tw/movie/fcen22898462/
劇場版 咒術迴戰 懷玉．玉折,fjjp36956670,2025-09-05,16,https://www.atmovies.com.tw/movie/fjjp36956670/
致我所愛之人,fbjp34388944,2025-09-05,1,https://www.atmovies.com.tw/movie/fbjp34388944/
96分鐘,fmtw48244467,2025-09-05,88,https://www.atmovies.com.tw/movie/fmtw48244467/
龍之心-靈界探訪記,fdjp36551651,2025-09-12,4,https://www.atmovies.com.tw/movie/fdjp36551651/
電影版小林家的龍女僕：害怕寂寞的龍,fmjp36592985,2025-09-12,6,https://www.atmovies.com.tw/movie/fmjp36592985/
我家的事,ffcn48566873,2025-09-12,21,https://www.atmovies.com.tw/movie/ffcn48566873/
大競走,flen10374610,2025-09-12,2,https://www.atmovies.com.tw/movie/flen10374610/
鬼祭,fsin33349807,2025-09-19,1,https://www.atmovies.com.tw/movie/fsin33349807/
捏造：史上最惡殺人教師,fsjp34459901,2025-09-19,1,https://www.atmovies.com.tw/movie/fsjp34459901/
失明,fbcn35332631,2025-09-19,1,https://www.atmovies.com.tw/movie/fbcn35332631/
8號出口,fejp35222590,2025-09-19,18,https://www.atmovies.com.tw/movie/fejp35222590/
劇場版『鏈鋸人 蕾潔篇』,fcjp30472557,2025-09-24,91,https://www.atmovies.com.tw/movie/fcjp30472557/
一戰再戰,foen30144839,2025-09-25,72,https://www.atmovies.com.tw/movie/foen30144839/
疾速營救,fsen44682810,2025-09-26,2,https://www.atmovies.com.tw/movie/fsen44682810/
陌路兄弟,fren35231528,2025-09-26,2,https://www.atmovies.com.tw/movie/fren35231528/
血怨,fpin31434122,2025-09-26,1,https://www.atmovies.com.tw/movie/fpin31434122/
醜得要命,fuko33514451,2025-09-26,1,https://www.atmovies.com.tw/movie/fuko33514451/
淒厲人師,ftth36590795,2025-09-26,1,https://www.atmovies.com.tw/movie/ftth36590795/
永遠在一起,ften31184028,2025-09-26,7,https://www.atmovies.com.tw/movie/ften31184028/
熱烈,focn20865078,2025-09-26,4,https://www.atmovies.com.tw/movie/focn20865078/
傲嬌公主的奇幻冒險,fpcz10996076,2025-09-26,3,https://www.atmovies.com.tw/movie/fpcz10996076/
沒好婚姻,fren31973693,2025-09-26,16,https://www.atmovies.com.tw/movie/fren31973693/
電影版 神奇柑仔店 錢天堂,fsjp33256912,2025-09-26,11,https://www.atmovies.com.tw/movie/fsjp33256912/
他年她日,fmcn47188718,2025-10-03,94,https://www.atmovies.com.tw/movie/fmcn47188718/
一百公尺。,fmjp32600395,2025-10-03,60,https://www.atmovies.com.tw/movie/fmjp32600395/
突破：三千米的泳氣,fbtw96355546,2025-10-03,46,https://www.atmovies.com.tw/movie/fbtw96355546/
搗破法蘭克,fscn35724819,2025-10-03,1,https://www.atmovies.com.tw/movie/fscn35724819/
蓋比的娃娃屋大電影,fgen32214143,2025-10-03,66,https://www.atmovies.com.tw/movie/fgen32214143/
暗影部隊,fsen11092020,2025-10-03,21,https://www.atmovies.com.tw/movie/fsen11092020/
河鰻,fecn21718805,2025-10-03,12,https://www.atmovies.com.tw/movie/fecn21718805/
皇家保姆亞瑟,foen31520900,2025-10-03,6,https://www.atmovies.com.tw/movie/foen31520900/
陰陽眼見子,fgjp33829458,2025-10-03,6,https://www.atmovies.com.tw/movie/fgjp33829458/
光,fdde31116299,2025-10-03,6,https://www.atmovies.com.tw/movie/fdde31116299/
夢想巨無霸,fjin27433995,2025-10-03,33,https://www.atmovies.com.tw/movie/fjin27433995/
泥娃娃,fmcn39232790,2025-10-09,89,https://www.atmovies.com.tw/movie/fmcn39232790/
風林火山,fshk44968738,2025-10-09,82,https://www.atmovies.com.tw/movie/fshk44968738/
奇幻導航,faen13650700,2025-10-09,76,https://www.atmovies.com.tw/movie/faen13650700/
徵人啟弒,fnko41527793,2025-10-09,73,https://www.atmovies.com.tw/movie/fnko41527793/
碰碰狐和貝貝彬歡唱電影,fben37510071,2025-10-09,43,https://www.atmovies.com.tw/movie/fben37510071/
鬼吹簫,fpen14197038,2025-10-09,52,https://www.atmovies.com.tw/movie/fpen14197038/
卡夫卡最後的愛,fgde27775137,2025-10-09,14,https://www.atmovies.com.tw/movie/fgde27775137/
世界就是這樣結束的,feen15551346,2025-10-09,13,https://www.atmovies.com.tw/movie/feen15551346/
銀魂劇場版 2D 真選組動亂篇,fyja91211428,2025-10-09,10,https://www.atmovies.com.tw/movie/fyja91211428/
狼來了,fcen34581826,2025-10-09,62,https://www.atmovies.com.tw/movie/fcen34581826/
創：戰神,ften36604188,2025-10-09,93,https://www.atmovies.com.tw/movie/ften36604188/
希瑪之歌,fsfa11647720,,1,https://www.atmovies.com.tw/movie/fsfa11647720/
